time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
0.7000000000000001,0.0,0.0,0.21,-5.860481180251713e-12,1.6161755239623245e-11,9.584021464565832e-05,9.318941956638171e-10,3.310535351947985e-10,-9.17215475983464e-11,3.319696907613103,-3.3196968800668283,3.3196968694054454,-3.319696898248663,3.319651922532912,-3.3196518949933176,3.3196518843341125,-3.3196519131706475,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.213,-6.060150067099551e-12,1.6715329290027375e-11,9.704482483162916e-05,9.816602069472236e-10,3.4871099230615524e-10,-9.290597111654238e-11,3.356372905989127,-3.3563728771501,3.3563728660176837,-3.356372896170401,3.356327922161567,-3.356327893328187,3.3563278821975158,-3.356327912344583,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.216,-6.2513494779641174e-12,1.724519891585698e-11,9.824598788767296e-05,1.032748525310753e-09,3.6683744951725213e-10,-9.409237865042103e-11,3.3932288424309927,-3.3932288122816936,3.393228800671997,-3.393228832151762,3.393183859491957,-3.3931838293471746,3.3931838177387625,-3.393183849214008,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.219,-6.432470398962364e-12,1.774681213267403e-11,9.944375407450694e-05,1.0851150857792914e-09,3.854175104963447e-10,-9.528007793623659e-11,3.430264716988678,-3.4302646855142016,3.4302646734219384,-3.430264706243675,3.430219734391532,-3.430219702920339,3.430219690828874,-3.430219723647323,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.2219999999999999,-6.601827316102295e-12,1.821539979445178e-11,0.0001006381736815,1.1387116347183707e-09,4.0443429932900375e-10,-9.64683160877486e-11,3.467480529719757,-3.467480496907971,3.4674804843288736,-3.467480518504722,3.4674355467173306,-3.467435513907491,3.467435501328681,-3.4674355355025788,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.225,-6.757658215282964e-12,1.8645975593574705e-11,0.0001018292970268,1.1934857298341722e-09,4.2386946051811614e-10,-9.765627959622134e-11,3.504876280689032,-3.504876246530734,3.504876233461613,-3.5048762690007704,3.504831296315991,-3.504831262158195,3.50483124908883,-3.5048312846274805,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.228,-6.8981245822944695e-12,1.9033336060838547e-11,0.0001030171744573,1.2493807401735254e-09,4.43703158983884e-10,-9.884309433042312e-11,3.542451969968831,-3.5424519344579117,3.5424519208967147,-3.542451957805276,3.5424069830237417,-3.5424069475117697,3.542406933949777,-3.5424069708593846,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.231,-7.021311402817959e-12,1.9372060565450295e-11,0.0001042018563483,1.3063358461239063e-09,4.639140800638249e-10,-1.0002782553662571e-10,3.5802075976387875,-3.5802075607723856,3.5802075467182592,-3.5802075849990547,3.5801626066664065,-3.580162569797285,3.5801625557417927,-3.580162594025302,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.2339999999999999,-7.073882537266373e-12,1.9511734984871237e-11,0.0001053834166756,1.361171616794783e-09,4.833719649121388e-10,-1.0121142606200692e-10,3.618143146265537,-3.6181431081109694,3.618143093587545,-3.618143133173243,3.6180981546633992,-3.618098116504728,3.6180981019794256,-3.618098141569221,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.237,-7.0788601603779615e-12,1.9517291420120123e-11,0.0001065618945317,1.4153282418958931e-09,5.025889923573458e-10,-1.023936481888486e-10,3.6562586235768615,-3.656258584170733,3.656258569190917,-3.656258610044892,3.656213632653756,-3.656213593242245,3.656213578260062,-3.656213619119415,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.24,-7.047004733380827e-12,1.941906473690654e-11,0.000107737334537,1.4695092630385734e-09,5.218155503551146e-10,-1.0357370888680058e-10,3.694554033644016,-3.6945539930091056,3.6945539775810174,-3.694554019680461,3.694509043443203,-3.694509002801638,3.694508987370704,-3.694509029476795,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.243,-6.975768888473961e-12,1.9209861716787432e-11,0.0001089097874034,1.5236122562995951e-09,5.410154590838096e-10,-1.0475115418696375e-10,3.7330293760899536,-3.733029334252685,3.7330293183857512,-3.733029361704202,3.732984386646915,-3.732984344801736,3.732984328931483,-3.7329843722578384,0.0,0.0,0.0,0.0
