axis,time_s,reference_m,response_m,raw_sha256
X,10.0,1.0,-6.46427174389574e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.01,1.0,-0.000125366497254,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.02,1.0,-0.00112855339499095,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.03,1.0,-0.00287005664010947,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.04,1.0,-0.004175623592237,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.05,1.0,-0.00424878417106585,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.06,1.0,-0.00317863593037298,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.07,1.0,-0.00106385088486948,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.08,1.0,0.00116666018085992,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.09,1.0,0.00275108479616473,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.1,1.0,0.00366380653255495,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.11,1.0,0.00430174180244308,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.12,1.0,0.00506958266454987,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.13,1.0,0.00615848739979151,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.14,1.0,0.00754757574249405,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.15,1.0,0.0091196515206627,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.16,1.0,0.0107726120638111,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.17,1.0,0.0124683354917494,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.18,1.0,0.0142228718933975,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,10.19,1.0,0.0160717377420202,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
