time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
36.35,1.2806248426298668,1.1276548671495612,0.6,2.040000000000001,0.0
36.36,1.2806248426908962,1.1278065645445257,0.6,2.040000000000001,0.0
36.37,1.2806248427510962,1.1279581356987203,0.6,2.040000000000001,0.0
36.38,1.2806248428104912,1.128109545807546,0.6,2.040000000000001,0.0
36.39,1.2806248428691045,1.1282608068153963,0.6,2.040000000000001,0.0
36.4,1.2806248429269584,1.1284119394756695,0.6,2.040000000000001,0.0
36.410000000000004,1.280624842984072,1.128562909711062,0.6,2.040000000000001,0.0
36.42,1.2806248430404699,1.128713731545764,0.6,2.040000000000001,0.0
36.43,1.2806248430961715,1.1288644087831112,0.6,2.040000000000001,0.0
36.44,1.2806248431512,1.1290149592279943,0.6,2.040000000000001,0.0
36.45,1.2806248432055707,1.1291653602976033,0.6,2.040000000000001,0.0
36.46,1.280624843259302,1.129315599864526,0.6,2.040000000000001,0.0
36.47,1.2806248433124112,1.1294657139208228,0.6,2.040000000000001,0.0
36.480000000000004,1.2806248433649152,1.1296156683460492,0.6,2.040000000000001,0.0
36.49,1.2806248434168293,1.1297654919600795,0.6,2.040000000000001,0.0
36.5,1.2806248434681693,1.1299151530850746,0.6,2.040000000000001,0.0
36.51,1.2806248435189496,1.130064687493728,0.6,2.040000000000001,0.0
36.52,1.2806248435691836,1.1302140616725604,0.6,2.040000000000001,0.0
36.53,1.280624843618885,1.1303633064201295,0.6,2.040000000000001,0.0
36.54,1.280624843668066,1.1305124064138738,0.6,2.040000000000001,0.0
36.550000000000004,1.2806248437167382,1.1306613461600645,0.6,2.040000000000001,0.0
36.56,1.280624843764913,1.1308101401598352,0.6,2.040000000000001,0.0
36.57,1.280624843812601,1.1309587898149518,0.6,2.040000000000001,0.0
36.58,1.2806248438598122,1.1311072992892495,0.6,2.040000000000001,0.0
36.59,1.2806248439065555,1.1312556635265256,0.6,2.040000000000001,0.0
36.6,1.28062484395284,1.131403882406594,0.6,2.040000000000001,0.0
36.61,1.280624843998674,1.1315519589136005,0.6,2.040000000000001,0.0
36.62,1.2806248440440648,1.1316998908639126,0.6,2.040000000000001,0.0
36.63,1.2806248440890202,1.13184767886803,0.6,2.040000000000001,0.0
36.64,1.2806248441335462,1.1319953435251873,0.6,2.040000000000001,0.0
36.65,1.2806248441776487,1.1321428507499927,0.6,2.040000000000001,0.0
36.660000000000004,1.2806248442213342,1.1322902122884868,0.6,2.040000000000001,0.0
36.67,1.2806248442646069,1.1324374482853112,0.6,2.040000000000001,0.0
36.68,1.2806248443074726,1.1325845255431044,0.6,2.040000000000001,0.0
36.69,1.2806248443499348,1.132731457822438,0.6,2.040000000000001,0.0
36.7,1.2806248443919976,1.1328782485061049,0.6,2.040000000000001,0.0
36.71,1.2806248444336645,1.1330249154503773,0.6,2.040000000000001,0.0
36.72,1.280624844474939,1.1331714367481849,0.6,2.040000000000001,0.0
36.730000000000004,1.2806248445158237,1.1333177998663826,0.6,2.040000000000001,0.0
36.74,1.280624844556321,1.1334640402412666,0.6,2.040000000000001,0.0
36.75,1.2806248445964337,1.133610124614727,0.6,2.040000000000001,0.0
36.76,1.2806248446361628,1.1337560811758516,0.6,2.040000000000001,0.0
36.77,1.2806248446755102,1.1339018788863386,0.6,2.040000000000001,0.0
36.78,1.2806248447144772,1.13404755283465,0.6,2.040000000000001,0.0
36.79,1.2806248447530648,1.1341930701918057,0.6,2.040000000000001,0.0
36.800000000000004,1.2806248447912747,1.1343384610203207,0.6,2.040000000000001,0.0
