time,referenceVector[3],quadChassisTest17_1.body.r_0[3],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],max_motor_q,q_domain_usage_percent
18.1,1.5,1.4996783337312758,1.1110093588952956,1.1110093588952956,1.0,-0.0005987359576211,3600.0,222.30091859879767,6.175025516633268
18.15,1.5,1.499679614126544,1.111009753937082,1.111009753937082,1.0,-0.0005964115032809,3600.0,222.30091912797792,6.17502553133272
18.2,1.5,1.4996808875861771,1.1110101469390987,1.1110101469390987,1.0,-0.0005940990078233,3600.0,222.30091965120118,6.175025545866699
18.25,1.5,1.4996821541679477,1.11101053791707,1.11101053791707,1.0,-0.000591798465513,3600.0,222.30092016673714,6.1750255601871435
18.3,1.5,1.4996834139288615,1.1110109268865596,1.1110109268865596,1.0,-0.0005895097486359,3600.0,222.30092067424494,6.175025574284581
18.35,1.5,1.4996846669250397,1.1110113138630018,1.1110113138630018,1.0,-0.0005872327978911,3600.0,222.30092117514081,6.1750255881983565
18.4,1.5,1.4996859132117897,1.1110116988616217,1.1110116988616217,1.0,-0.000584967395059,3600.0,222.30092166819455,6.175025601894292
18.45,1.5,1.4996871528436526,1.1110120818974965,1.1110120818974965,1.0,-0.0005827136054956,3600.0,222.3009221568087,6.175025615466908
18.5,1.5,1.4996883858744323,1.111012462985526,1.111012462985526,1.0,-0.000580471255115,3600.0,222.30092263575827,6.1750256287710625
18.55,1.5,1.4996896123572494,1.1110128421404653,1.1110128421404653,1.0,-0.0005782403449311,3600.0,222.30092311051447,6.175025641958736
18.6,1.5,1.499690832344446,1.111013219376926,1.111013219376926,1.0,-0.0005760206649262,3600.0,222.30092357921183,6.175025654978106
18.65,1.5,1.4996920458877967,1.111013594709306,1.111013594709306,1.0,-0.0005738121339426,3600.0,222.3009240409792,6.175025667804977
18.7,1.5,1.4996932530383895,1.11101396815192,1.11101396815192,1.0,-0.0005716147719364,3600.0,222.3009244996033,6.175025680544535
18.75,1.5,1.4996944538466166,1.111014339718875,1.111014339718875,1.0,-0.0005694284305519,3600.0,222.30092495035785,6.175025693065495
18.8,1.5,1.4996956483623542,1.1110147094241654,1.1110147094241654,1.0,-0.0005672530411267,3600.0,222.30092539524102,6.175025705423362
18.85,1.5,1.4996968366684755,1.111015077281608,1.111015077281608,1.0,-0.0005650885095179,3600.0,222.30092583298276,6.175025717582854
18.9,1.5,1.4996980187818711,1.1110154433048856,1.1110154433048856,1.0,-0.0005629348325215,3600.0,222.3009262680673,6.175025729668535
18.95,1.5,1.4996991947331182,1.1110158075075722,1.1110158075075722,1.0,-0.0005607917440543,3600.0,222.3009266984961,6.175025741624892
19.0,1.5,1.4997003645847828,1.1110161699030316,1.1110161699030316,1.0,-0.0005586594331107,3600.0,222.30092712246116,6.175025753401698
19.05,1.5,1.499701528383799,1.111016530504551,1.111016530504551,1.0,-0.0005565376358685,3600.0,222.30092754201905,6.175025765056085
19.1,1.5,1.4997026861765606,1.1110168893252363,1.1110168893252363,1.0,-0.0005544262498732,3600.0,222.3009279601487,6.175025776670797
19.15,1.5,1.499703838008993,1.1110172463780923,1.1110172463780923,1.0,-0.000552325352842,3600.0,222.30092836815768,6.175025788004381
